"","pid","sex","dobm","doby","memorig","plbornc","race","paju","maju","lprnt","lnprnt","ch1bm","ch1by","scend","bwtgm","pagold","pargsc","magold","margsc","j1gold","j1rgsc","fsource","children","ssex2","ssex3","twin1","twin2","twin3","age"
"1",10014578,"female","january",1937,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","service class,higher grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",4,1,NA,NA,NA,NA,72
"2",10016848,"female","august",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,50
"3",10017933,"female","september",1942,"original sample",11,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,17,"not applicable","service class,higher grade","professional occ","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,67
"4",10020209,"female","august",1941,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","semi,unskilled manual workers","partly skilled occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,68
"5",10023526,"female","april",1953,"original sample",37,"chinese","inapplicable","mother not work","not applicable",-8,"not applicable",-8,17,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,56
"6",10029133,"female","november",1961,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,19,"not applicable","service class,higher grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,48
"7",10040331,"female","september",1953,"original sample",-8,"black-carib","don't know","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","not applicable","inapplicable","skilled manual workers","skilled manual","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,56
"8",10047093,"female","november",1962,"original sample",84,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,17,"not applicable","service class,higher grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,47
"9",10048219,"female","october",1948,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","semi,unskilled manual workers","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,1,NA,NA,NA,61
"10",10049304,"female","august",1956,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,NA,1,NA,NA,NA,53
