"","idhous99","idpers_new","idpers","sex","birthm","birthy","age","marstat","intlang","religion","disrel_fr","health","work","income","cfriends","reading","inchild","children","education","fath15","moth15","stepp15","sib15","inear15","ocfath15","edufath","mthwk15","ocmth15","edumth","fathpol","mothpol"
"1",251,1,25101,"woman",12,1942,57,"widower/widow","french","roman catholic","","well","not in labor force",-2,4,"at least once a week",0,0,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"2",261,1,26101,"woman",11,1922,77,"married","german","roman catholic","","so, so (average)","not in labor force",-2,NA,"at least once a week",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",1,"no",NA,"compulsory or less","don't know","don't know"
"3",301,1,30101,"woman",4,1926,73,"widower/widow","french","protestant or reformed church","never","well","not in labor force",-2,8,"at least once a week",0,2,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",0,"no","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"4",371,1,37101,"woman",8,1919,80,"widower/widow","french","no denomination or religion","never","well","not in labor force",45360,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","professionals",15,"no",NA,"compulsory or less","right","right"
"5",491,1,49102,"woman",9,1950,49,"married","french","roman catholic","never","so, so (average)","active occupied",66521,1,"never",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","right","centre"
"6",571,1,57102,"woman",6,1953,46,"married","french","roman catholic","","well","active occupied",-2,12,"every day",3,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",1,"yes","elementary occupations","general training/apprenticeship","innaplicable","innaplicable"
"7",591,1,59102,"woman",9,1939,60,"married","french","no denomination or religion","","very well","active occupied",51051,2,"every day",0,2,"compulsory or less","no","yes","inapplicable","yes","a guardian","elementary occupations",NA,"no",NA,"compulsory or less","left","left"
"8",701,1,70101,"woman",10,1952,47,"married","french","roman catholic","","well","active occupied",-5,8,"every day",2,2,"compulsory or less","no","yes","inapplicable","yes","a guardian","craft and related trades workers",3,"no","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"9",911,1,91102,"woman",2,1952,47,"married","french","roman catholic","never","very well","active occupied",50700,20,"every day",2,2,"domestic science course, 1yr","yes","yes","inapplicable","no","father","craft and related trades workers",1,"no",NA,"compulsory or less","right","centre"
"10",991,1,99101,"woman",12,1929,70,"widower/widow","french","protestant or reformed church","never","well","not in labor force",-1,NA,"less than once a month",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","other","other"
"11",1011,1,101102,"woman",10,1951,48,"married","french","roman catholic",NA,"well","active occupied",-2,2,"every day",1,1,"university/postgrad","yes","yes","inapplicable","no","both equally","craft and related trades workers",NA,"yes","technicians and associate professionals",NA,"innaplicable","innaplicable"
"12",1041,1,104101,"woman",12,1923,76,"married","french","protestant or reformed church","","so, so (average)","not in labor force",-2,40,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","service workers, market sales workers",5,"no","service workers, market sales workers","high school","right","no particular tendency"
"13",1091,1,109101,"woman",9,1914,85,"widower/widow","french","protestant or reformed church","","so, so (average)","not in labor force",-8,28,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","professionals",5,"no",NA,"compulsory or less","right","right"
"14",1121,1,112102,"woman",8,1942,57,"married","french","roman catholic","never","very well","active occupied",68250,NA,"less than once a month",0,2,"high school","yes","yes","inapplicable","yes","both equally","elementary occupations",5,"yes","elementary occupations","high school","don't know","don't know"
"15",1161,1,116101,"woman",5,1951,48,"single, never married","french","other","never","well","not in labor force",18000,NA,"never",0,0,"high school","no","yes","inapplicable","yes","mother","elementary occupations",3,"yes","professionals","general training/apprenticeship","don't know","no particular tendency"
