"","DOCNO","WEEKS","NUMBIDS","TAKEOVER","BIDPREM","INSTHOLD","SIZE","LEGLREST","REALREST","FINREST","REGULATN","WHTKNGHT","SIZESQ","CONSTANT"
"1",78001,23.5709991455078,2,1,1.1904970407486,0.136000007390976,0.766759991645813,1,0,0,0,1,0.587921023368835,1
"2",78005,13.5710000991821,0,1,1.03600001335144,0.13400000333786,0.162503004074097,0,0,0,0,0,0.0264069996774197,1
"3",78015,5,1,1,1.40341198444366,0.0020000000949949,0.120489001274109,1,0,0,1,1,0.0145180001854897,1
"4",78016,7.42899990081787,1,1,1.5044549703598,0.180999994277954,0.0723000019788742,1,0,0,0,0,0.00522699998691678,1
"5",78028,8.85700035095215,1,1,1.38073599338531,0.328999996185303,0.18911799788475,1,0,0,1,0,0.0357660017907619,1
"6",78031,6.42899990081787,3,1,1.40006899833679,0.187999993562698,0.154217004776001,1,0,0,0,1,0.0237830001860857,1
"7",78033,13.5710000991821,2,1,1.18169105052948,0.319000005722046,0.460355013608932,0,0,0,1,1,0.211926996707916,1
"8",78037,14.8570003509521,1,1,1.3225599527359,0.123000003397465,0.276814013719559,0,0,0,1,0,0.0766260027885437,1
"9",78039,20.7140007019043,1,1,1.6505880355835,0.379000008106232,0.228949993848801,0,0,0,0,0,0.0524180009961128,1
"10",78041,41.4290008544922,0,1,1.35606002807617,0.342999994754791,0.914039015769958,1,1,0,1,0,0.835466980934143,1
"11",78042,2.85700011253357,1,1,1.30579304695129,0.395000010728836,0.230776995420456,0,0,0,0,0,0.0532580018043518,1
"12",78043,7.71400022506714,2,1,1.4722980260849,0.17399999499321,0.107285998761654,1,0,0,1,1,0.0115099996328354,1
"13",79008,14.4289999008179,2,1,1.38699996471405,0.00600000005215406,0.0370029993355274,1,0,0,0,1,0.00136899994686246,1
"14",79015,8.28600025177002,1,1,2.06636595726013,0.0599999986588955,0.308104008436203,1,0,0,0,1,0.0949279963970184,1
"15",79017,7.71400022506714,2,1,1.33363604545593,0.151999995112419,0.423673003911972,0,0,0,1,1,0.179499000310898,1
