Day,Hour,Net Load [MW],Electricity Price [$/MWh]
1,1,26193.87,55.79
1,2,25306.4,53.9
1,3,25029.67,53.31
1,4,24388.74,51.95
1,5,23396.01,49.83
1,6,24382.15,51.93
1,7,24880.42,52.99
1,8,25300.3,53.89
1,9,26819.25,57.12
1,10,27918.84,59.46
1,11,27988.32,59.61
1,12,27949.31,59.53
1,13,27720.13,59.04
1,14,27397.08,58.35
1,15,27287.36,58.12
1,16,27738.41,59.08
1,17,30387.43,64.72
1,18,33658.15,71.69
1,19,33470.42,71.29
1,20,32818.22,69.9
1,21,31801.53,67.73
1,22,30207,64.34
1,23,28367.45,60.42
1,24,26476.69,56.39
2,25,25116.22,53.5
2,26,24103.02,51.34
2,27,23452.37,49.95
2,28,23017.89,49.03
2,29,23517.13,50.09
2,30,24819.99,52.86
2,31,25301.52,53.89
2,32,26112.19,55.62
2,33,27755.48,59.12
2,34,29065.97,61.91
2,35,29601.13,63.05
2,36,29701.1,63.26
2,37,29651.11,63.15
2,38,29552.37,62.94
2,39,29648.68,63.15
2,40,30258.21,64.45
2,41,33372.89,71.08
2,42,36084.08,76.86
2,43,35903.66,76.47
2,44,35097.86,74.75
2,45,33708.14,71.79
2,46,31232.23,66.52
2,47,28740.48,61.21
2,48,26621.76,56.7
3,49,25529.44,54.38
3,50,24408.27,51.99
3,51,23265.19,49.55
3,52,24301.39,51.76
3,53,25878.13,55.12
3,54,28123.64,59.9
3,55,31851.51,67.84
3,56,33348.51,71.03
3,57,34665.09,73.83
3,58,35105.17,74.77
3,59,35294.13,75.17
3,60,34913.78,74.36
3,61,34605.36,73.71
3,62,34157.97,72.75
3,63,33671.56,71.72
3,64,33833.7,72.06
3,65,36540,77.83
3,66,39106.12,83.29
3,67,38724.55,82.48
3,68,37567.67,80.02
3,69,35999.96,76.68
3,70,33300.97,70.93
3,71,30600.76,65.18
3,72,27796.93,59.2
4,73,26666.86,56.8
4,74,25601.43,54.53
4,75,24618.94,52.44
4,76,25412.45,54.13
4,77,26921.65,57.34
4,78,29670.62,63.2
4,79,33593.54,71.55
4,80,34449.32,73.37
4,81,35494.05,75.6
4,82,35921.94,76.51
4,83,36087.73,76.86
4,84,35595.24,75.81
4,85,35240.49,75.06
4,86,34958.89,74.46
4,87,34349.36,73.16
4,88,34462.73,73.4
4,89,36550.98,77.85
4,90,39754.66,84.67
4,91,39327.99,83.76
4,92,38441.73,81.88
4,93,36900.84,78.6
4,94,34144.56,72.72
4,95,30909.18,65.83
4,96,28412.55,60.52
5,97,27415.36,58.39
5,98,26190.69,55.78
5,99,25110.43,53.48
5,100,25912.94,55.19
5,101,27470.22,58.51
5,102,30304.53,64.55
5,103,33900.75,72.21
5,104,34643.15,73.79
5,105,35007.65,74.56
5,106,35217.33,75.01
5,107,35186.85,74.94
5,108,34734.58,73.98
5,109,34590.73,73.67
5,110,34179.91,72.8
5,111,34268.9,72.99
5,112,33934.88,72.28
5,113,36214.52,77.13
5,114,39340.18,83.79
5,115,38884.25,82.82
5,116,37977.27,80.89
5,117,36420.54,77.57
5,118,33971.45,72.36
5,119,31088.38,66.22
5,120,28710,61.15
6,121,27332.29,58.22
6,122,26219.88,55.85
6,123,25366.01,54.03
6,124,25902.72,55.17
6,125,27368.06,58.29
6,126,30324.03,64.59
6,127,34011.68,72.44
6,128,34677.29,73.86
6,129,35289.25,75.16
6,130,35417.25,75.44
6,131,35191.73,74.95
6,132,34667.53,73.84
6,133,34200.63,72.84
6,134,34042.16,72.51
6,135,33526.5,71.41
6,136,33469.2,71.29
6,137,35516,75.65
6,138,38937.89,82.93
6,139,38675.79,82.38
6,140,37774.91,80.46
6,141,36266.94,77.24
6,142,33820.29,72.03
6,143,30888.46,65.79
6,144,28215.07,60.1
7,145,26822.06,57.13
7,146,25847.4,55.05
7,147,25549.15,54.42
7,148,25865.23,55.09
7,149,26931.62,57.36
7,150,29647.46,63.15
7,151,33559.41,71.48
7,152,34682.16,73.87
7,153,35689.1,76.01
7,154,36638.75,78.04
7,155,36950.83,78.7
7,156,36691.17,78.15
7,157,36424.19,77.58
7,158,35959.73,76.59
7,159,35335.58,75.26
7,160,35052.75,74.66
7,161,36664.35,78.09
7,162,38577.05,82.17
7,163,37582.3,80.05
7,164,36202.33,77.11
7,165,34828.45,74.18
7,166,32821.88,69.91
7,167,30543.46,65.05
7,168,28040.74,59.72
8,169,26473.03,56.38
8,170,25762.02,54.87
8,171,24711.73,52.63
8,172,24904.91,53.04
8,173,24971.67,53.19
8,174,26314.95,56.05
8,175,27959.06,59.55
8,176,28901.39,61.56
8,177,30152.15,64.22
8,178,31239.55,66.54
8,179,31752.77,67.63
8,180,32096.54,68.36
8,181,31894.18,67.93
8,182,31645.49,67.4
8,183,31261.49,66.58
8,184,31105.45,66.25
8,185,33202.23,70.72
8,186,35253.9,75.09
8,187,34685.82,73.88
8,188,33643.53,71.66
8,189,32390.34,68.99
8,190,30934.78,65.89
8,191,29215.91,62.23
8,192,27166.68,57.86
9,193,25722.1,54.79
9,194,24709.02,52.63
9,195,23574.33,50.21
9,196,23171.06,49.35
9,197,23651.41,50.38
9,198,24846.52,52.92
9,199,25781.83,54.91
9,200,26449.87,56.34
9,201,27717.69,59.04
9,202,29259.8,62.32
9,203,30018.05,63.94
9,204,30205.79,64.34
9,205,30176.53,64.27
9,206,29887.61,63.66
9,207,29782.77,63.43
9,208,30494.7,64.95
9,209,32547.59,69.32
9,210,35133.21,74.83
9,211,34907.69,74.35
9,212,34143.34,72.72
9,213,32641.46,69.52
9,214,30144.83,64.21
9,215,27792.05,59.19
9,216,25992.73,55.36
10,217,24690.45,52.59
10,218,23647.01,50.37
10,219,22680.46,48.31
10,220,23583.05,50.23
10,221,25130.77,53.53
10,222,28101.69,59.85
10,223,31755.21,67.64
10,224,33164.44,70.64
10,225,33970.23,72.35
10,226,34616.33,73.73
10,227,35018.62,74.59
10,228,34956.45,74.45
10,229,34561.47,73.61
10,230,34209.17,72.86
10,231,33912.94,72.23
10,232,33969.01,72.35
10,233,35969.49,76.61
10,234,38356.4,81.7
10,235,37919.98,80.77
10,236,36826.48,78.44
10,237,35068.6,74.69
10,238,32424.47,69.06
10,239,29473.13,62.77
10,240,26713.19,56.9
11,241,25278.31,53.84
11,242,24421.1,52.01
11,243,23618.81,50.31
11,244,24280.91,51.72
11,245,25716,54.77
11,246,27549.46,58.68
11,247,31666.22,67.45
11,248,32926.72,70.13
11,249,33594.76,71.55
11,250,34287.19,73.03
11,251,34362.77,73.19
11,252,34171.38,72.78
11,253,33958.04,72.33
11,254,33585.01,71.53
11,255,33179.06,70.67
11,256,33098.61,70.5
11,257,34955.23,74.45
11,258,38455.14,81.91
11,259,38052.85,81.05
11,260,37229.99,79.3
11,261,35447.73,75.5
11,262,32623.17,69.48
11,263,29764.49,63.4
11,264,27142.3,57.81
12,265,25862.29,55.08
12,266,25245.89,53.77
12,267,24110.1,51.35
12,268,24700.64,52.61
12,269,25871.42,55.1
12,270,28877.01,61.51
12,271,33205.88,70.73
12,272,34016.56,72.45
12,273,34350.58,73.16
12,274,34505.4,73.49
12,275,34278.65,73.01
12,276,33903.18,72.21
12,277,33795.91,71.98
12,278,33443.6,71.23
12,279,32962.07,70.21
12,280,32699.98,69.65
12,281,33945.85,72.3
12,282,38045.54,81.03
12,283,37646.91,80.18
12,284,36945.95,78.69
12,285,35487.96,75.59
12,286,32986.45,70.26
12,287,29684.03,63.22
12,288,26907.02,57.31
13,289,25824.5,55
13,290,24916.02,53.07
13,291,23967.25,51.05
13,292,24649.99,52.5
13,293,25947.62,55.27
13,294,28972.1,61.71
13,295,33310.72,70.95
13,296,34565.13,73.62
13,297,35191.73,74.95
13,298,35450.17,75.51
13,299,35364.83,75.32
13,300,35006.43,74.56
13,301,34660.22,73.82
13,302,34393.25,73.25
13,303,34018.99,72.46
13,304,34033.62,72.49
13,305,35836.61,76.33
13,306,38889.13,82.83
13,307,38436.86,81.87
13,308,37534.75,79.95
13,309,35997.52,76.67
13,310,33315.6,70.96
13,311,30019.27,63.94
13,312,27703.06,59
14,313,26555.83,56.56
14,314,25464.95,54.24
14,315,24625.39,52.45
14,316,25111.26,53.48
14,317,26474.25,56.39
14,318,29341.47,62.49
14,319,33286.34,70.9
14,320,34392.03,73.25
14,321,34715.08,73.94
14,322,34860.14,74.25
14,323,34795.53,74.11
14,324,34253.05,72.96
14,325,33859.3,72.12
14,326,33465.54,71.28
14,327,32959.63,70.2
14,328,32517.12,69.26
14,329,33624.02,71.62
14,330,37087.36,78.99
14,331,36458.33,77.65
14,332,35517.22,75.65
14,333,34192.1,72.83
14,334,32205.04,68.59
14,335,29404.87,62.63
14,336,26820.47,57.12
15,337,25031.32,53.31
15,338,25241.74,53.76
15,339,24058.67,51.24
